address,lat,lon
所沢市小手指町１丁目,35.8029843,139.4378737
川島町大字伊草,35.9694567,139.4679985
本庄市駅南２丁目,36.2333958,139.1895783
熊谷市拾六間,36.1673029,139.3224817
熊谷市美土里町３丁目,36.169612,139.317707
行田市大字須加,36.183717,139.485839
さいたま市岩槻区加倉２丁目,35.9433217,139.6840382
春日部市大場,35.9483248,139.7653198
春日部市西金野井,35.9872609,139.811604
春日部市中央１丁目,35.9778456,139.7522467
春日部市中央４丁目,35.9739775,139.7475099
春日部市中央６丁目,35.9746374,139.7530997
越谷市瓦曽根３丁目,35.8806706,139.7910476
越谷市大字西方,35.881166,139.7983217
越谷市大沢３丁目,35.9026128,139.7837681
越谷市大字大房,35.9098126,139.7831297
越谷市北越谷２丁目,35.8988888,139.7771859
越谷市新越谷１丁目,35.8737159,139.7833121
越谷市宮本町１丁目,35.8931874,139.7821212
越谷市宮本町３丁目,35.8887633,139.7775721
越谷市宮本町５丁目,35.8909102,139.7728944
越谷市大字南荻島,35.9115244,139.7667146
越谷市千間台西１丁目,35.9362249,139.7704053
越谷市蒲生西町１丁目,35.8629176,139.7939765
越谷市大字大里,35.9186365,139.7854418
越谷市大字恩間,35.9248096,139.770062
越谷市大字袋山,35.9227853,139.775877
白岡市白岡,36.0174085,139.6669008
白岡市新白岡３丁目,36.0328228,139.6748508
宮代町百間４丁目,36.0247589,139.7326356
宮代町学園台２丁目,36.0288387,139.7148234
三郷市戸ケ崎１丁目,35.8078774,139.8683381
三郷市早稲田１丁目,35.8475364,139.8870915
上尾市平塚２丁目,35.9982158,139.5995378
ふじみ野市福岡中央１丁目,35.8734993,139.5216342
富士見市ふじみ野西３丁目,35.860899,139.518278
川口市桜町４丁目,35.8405078,139.7442162
川口市江戸袋１丁目,35.8164038,139.7576058
川口市東川口２丁目,35.8766456,139.7492051
川口市東川口３丁目,35.8782539,139.7446024
川口市東川口４丁目,35.8808705,139.7419739
川口市戸塚東２丁目,35.8715511,139.7534108
川口市南鳩ヶ谷１丁目,35.8202926,139.740622
川口市戸塚６丁目,35.863561,139.7540223
さいたま市中央区鈴谷７丁目,35.874304,139.6256116
さいたま市桜区西堀８丁目,35.859762,139.633555
新座市中野２丁目,35.819386,139.5433624
さいたま市西区塚本町１丁目,35.88064,139.562086
さいたま市緑区東浦和１丁目,35.8639132,139.7023737
さいたま市見沼区堀崎町,35.939135,139.6537614
さいたま市大宮区桜木町１丁目,35.903019,139.619559
さいたま市浦和区北浦和３丁目,35.874874,139.6448131
さいたま市浦和区北浦和４丁目,35.8722257,139.6447879
さいたま市浦和区常盤９丁目,35.8695114,139.6458574
さいたま市浦和区常盤１０丁目,35.871357,139.6404334
さいたま市南区文蔵１丁目,35.8431251,139.6717428
さいたま市南区曲本２丁目,35.8375754,139.635947
さいたま市浦和区岸町５丁目,35.851383,139.65231
蕨市中央５丁目,35.8236869,139.6805934
川口市上青木６丁目,35.834776,139.7202265
川口市並木１丁目,35.8115404,139.711343
川口市末広１丁目,35.8021258,139.7352147
川口市元郷４丁目,35.7961651,139.7353005
川口市西川口１丁目,35.8151162,139.7013223
川口市弥平３丁目,35.8033006,139.7531104
朝霞市西原２丁目,35.817606,139.585367
朝霞市西弁財１丁目,35.814855,139.584453
朝霞市本町１丁目,35.801873,139.595136
八潮市中央２丁目,35.819614,139.8369992
八潮市大字浮塚,35.7990181,139.8246729
八潮市大字西袋,35.8178654,139.8205304
草加市草加４丁目,35.8380138,139.8011327
草加市神明１丁目,35.8344455,139.8055637
草加市高砂１丁目,35.825486,139.8045659
草加市中央１丁目,35.8269822,139.810558
草加市谷塚町,35.8164212,139.7975707
草加市瀬崎６丁目,35.8126279,139.8181057
草加市谷塚２丁目,35.8085299,139.7990835
草加市八幡町,35.8530483,139.806776
北本市西高尾１丁目,36.031343,139.52862
川越市大字南田島,35.9015852,139.5060536
川越市大字下赤坂,35.860134,139.478455
川越市大字下松原,35.869043,139.488442
川越市むさし野,35.888072,139.466887
川越市砂新田２丁目,35.890062,139.490081
川越市砂新田６丁目,35.879816,139.485953
川越市大字的場,35.9172276,139.4397513
本庄市五十子２丁目,36.226731,139.196374
熊谷市上根,36.2101476,139.381485
熊谷市善ヶ島,36.217229,139.400959
熊谷市小江川,36.1042488,139.3351793
熊谷市本石２丁目,36.145993,139.3773436
行田市藤原町２丁目,36.1472319,139.4837308
春日部市増富,35.9639918,139.733541
春日部市南中曽根,35.9726751,139.7303867
越谷市川柳町２丁目,35.8689342,139.8098445
越谷市南越谷２丁目,35.8781322,139.7952747
越谷市南越谷３丁目,35.8785581,139.7876894
越谷市伊原１丁目,35.8642349,139.8063844
越谷市南町１丁目,35.8627915,139.8033696
越谷市弥生町,35.8903452,139.7862303
久喜市南栗橋１丁目,36.114018,139.71441
上尾市仲町１丁目,35.9724494,139.592489
富士見市関沢３丁目,35.838126,139.542784
ふじみ野市鶴ケ岡２丁目,35.867124,139.5055193
ふじみ野市鶴ケ岡４丁目,35.8677629,139.5006569
富士見市ふじみ野西２丁目,35.8614494,139.5199792
ふじみ野市大原２丁目,35.880093,139.517025
ふじみ野市上福岡３丁目,35.8710201,139.5157914
ふじみ野市清見２丁目,35.8824947,139.5193154
ふじみ野市中丸２丁目,35.878942,139.531378
ふじみ野市南台１丁目,35.8689508,139.5184383
川口市大字赤井,35.83201,139.7519946
川口市大字辻,35.8264603,139.7319746
さいたま市中央区本町西２丁目,35.8838553,139.6183261
さいたま市中央区本町東１丁目,35.8796001,139.6249741
さいたま市桜区大字上大久保,35.8680428,139.6108095
さいたま市桜区西堀６丁目,35.85549,139.629346
さいたま市大宮区櫛引町１丁目,35.9105852,139.6078108
さいたま市大宮区宮町１丁目,35.9086473,139.6246703
さいたま市南区大字大谷口,35.8588135,139.6863985
さいたま市南区南浦和２丁目,35.8497905,139.6715471
戸田市喜沢２丁目,35.8089227,139.6958387
戸田市喜沢南１丁目,35.8055319,139.6947194
戸田市下戸田２丁目,35.8157999,139.6835724
戸田市中町２丁目,35.8090608,139.6900887
蕨市北町５丁目,35.8329359,139.6727374
蕨市南町２丁目,35.8191279,139.6956674
蕨市南町３丁目,35.8177297,139.6995057
蕨市中央２丁目,35.8218036,139.6892811
蕨市中央４丁目,35.8250174,139.6836636
川口市前上町,35.8345325,139.7148728
川口市末広２丁目,35.8054585,139.7387767
川口市金山町,35.7961216,139.7217178
川口市幸町３丁目,35.8054411,139.7160423
川口市栄町３丁目,35.8033832,139.7194433
川口市並木元町,35.8086343,139.7140038
川口市大字芝,35.8435404,139.689343
川口市芝富士２丁目,35.8371331,139.6778369
川口市西川口３丁目,35.8115229,139.7044873
志木市上宗岡５丁目,35.8454886,139.5839884
朝霞市泉水２丁目,35.803742,139.578932
和光市白子２丁目,35.77835,139.621985
志木市本町５丁目,35.8260704,139.5767461
朝霞市岡１丁目,35.8062631,139.5987891
八潮市中央１丁目,35.8222195,139.8362213
八潮市緑町５丁目,35.8261733,139.8260987
草加市花栗１丁目,35.8353501,139.7930646
草加市住吉２丁目,35.8306357,139.8093402
草加市吉町５丁目,35.8204405,139.8042977
草加市北谷３丁目,35.8448041,139.7845352
川越市大字並木,35.90207,139.523316
川越市大字下広谷,35.9506337,139.4321291
川越市宮下町２丁目,35.928611,139.486348
nannan,48.5452202,12.1488286
東松山市若松町１丁目,36.0294153,139.4085967
深谷市東方町１丁目,36.189663,139.310859
春日部市大沼３丁目,35.9678821,139.7522735
越谷市登戸町,35.873116,139.7984719
越谷市南越谷１丁目,35.8712904,139.791938
越谷市花田７丁目,35.9026345,139.8066687
越谷市蒲生寿町,35.8673084,139.7935796
越谷市蒲生西町２丁目,35.863035,139.7898835
越谷市赤山町５丁目,35.8830089,139.7845673
越谷市レイクタウン３丁目,35.8830828,139.8288506
越谷市越ヶ谷１丁目,35.8873638,139.7889662
越谷市東越谷１丁目,35.8941521,139.793483
越谷市東越谷７丁目,35.8924138,139.8018944
幸手市南２丁目,36.068751,139.711788
三郷市戸ケ崎２丁目,35.8016037,139.8641109
上尾市谷津２丁目,35.971566,139.588161
川口市大字安行慈林,35.8387248,139.7500205
川口市大字東本郷,35.8249032,139.7646868
川口市赤井２丁目,35.8237114,139.7508252
川口市本蓮１丁目,35.8217149,139.7614574
川口市大字道合,35.850842,139.717674
川口市鳩ヶ谷本町３丁目,35.8333234,139.7428214
さいたま市中央区上落合２丁目,35.8903568,139.6273319
さいたま市桜区田島４丁目,35.8493501,139.6294447
さいたま市緑区大字三室,35.8911006,139.6778595
さいたま市緑区大字大間木,35.8732551,139.6945846
さいたま市緑区東浦和５丁目,35.8674627,139.705512
さいたま市見沼区大字蓮沼,35.9251546,139.6670485
さいたま市大宮区東町１丁目,35.9066248,139.6329277
さいたま市大宮区大成町１丁目,35.9089467,139.6144257
さいたま市大宮区堀の内町３丁目,35.914003,139.636369
さいたま市浦和区北浦和２丁目,35.877376,139.6471916
さいたま市南区文蔵３丁目,35.8394252,139.6739525
さいたま市南区内谷５丁目,35.831934,139.6432649
蕨市塚越６丁目,35.8257642,139.7062404
蕨市塚越７丁目,35.822373,139.7065112
川口市上青木西４丁目,35.8305661,139.712019
川口市上青木西５丁目,35.8314185,139.715935
川口市前川１丁目,35.834028,139.7095728
川口市上青木西２丁目,35.8245987,139.7148943
川口市北園町,35.8553701,139.7054744
川口市芝２丁目,35.8324797,139.6978784
川口市西川口２丁目,35.8124626,139.7008502
志木市本町２丁目,35.832597,139.581696
草加市中根１丁目,35.8480045,139.8045659
北本市下石戸６丁目,36.013481,139.545414
所沢市大字久米,35.7799518,139.4620375
坂戸市末広町,35.975011,139.396123
東松山市松葉町１丁目,36.0398883,139.3980828
本庄市銀座１丁目,36.2394967,139.1833556
熊谷市柿沼,36.168696,139.380482
熊谷市銀座２丁目,36.138906,139.395088
蓮田市東４丁目,35.9796949,139.6577901
春日部市梅田本町２丁目,35.9914191,139.742167
春日部市六軒町,35.9669964,139.7836769
久喜市北青柳,36.05138,139.669606
久喜市菖蒲町小林,36.0533667,139.5842599
三郷市駒形,35.8485524,139.8606777
三郷市早稲田４丁目,35.852172,139.880948
伊奈町栄５丁目,35.985888,139.641457
富士見市大字水子,35.8408,139.564345
川口市大字安行原,35.8404817,139.769783
川口市安行出羽５丁目,35.8507961,139.7658536
川口市戸塚東１丁目,35.8740115,139.7515976
川口市赤井４丁目,35.828467,139.749298
川口市大字東内野,35.867899,139.721422
川口市大字安行領根岸,35.8437257,139.7180941
さいたま市桜区大字大久保領家,35.8689426,139.6050695
さいたま市桜区大字神田,35.8744094,139.6085635
さいたま市桜区西堀４丁目,35.8513747,139.6263907
さいたま市桜区南元宿２丁目,35.861682,139.626341
新座市東北２丁目,35.818405,139.5736833
さいたま市緑区大字中尾,35.874704,139.6840573
さいたま市緑区大字大門,35.884917,139.7303653
さいたま市見沼区丸ヶ崎町,35.9559329,139.6503281
さいたま市浦和区領家４丁目,35.8814703,139.6554136
さいたま市浦和区針ヶ谷４丁目,35.8794793,139.6392768
さいたま市浦和区常盤６丁目,35.8619003,139.6434703
蕨市塚越１丁目,35.8264033,139.6928378
戸田市氷川町２丁目,35.8101749,139.6568444
川口市大字小谷場,35.8440257,139.6796294
川口市芝塚原１丁目,35.8375158,139.6827829
川口市青木２丁目,35.8093217,139.7269535
川口市芝下１丁目,35.8377681,139.6995091
志木市本町３丁目,35.830173,139.581205
草加市清門３丁目,35.8538483,139.7810805
さいたま市大宮区宮町３丁目,35.9115322,139.6263787
さいたま市大宮区大成町２丁目,35.9132223,139.6153543
さいたま市北区宮原町３丁目,35.9376376,139.6119417
さいたま市北区宮原町４丁目,35.9473716,139.608786
さいたま市北区東大成町１丁目,35.9210172,139.6215964
さいたま市大宮区天沼町２丁目,35.9011724,139.6393415
さいたま市北区土呂町１丁目,35.935556,139.6316385
川越市砂新田５丁目,35.883887,139.489017
川越市的場北２丁目,35.924366,139.439023
行田市桜町３丁目,36.1464782,139.4717145
春日部市粕壁東１丁目,35.9801854,139.7557604
春日部市粕壁１丁目,35.9817395,139.7541296
越谷市千間台東２丁目,35.9354909,139.7803509
越谷市七左町７丁目,35.8780279,139.7683883
久喜市久喜北２丁目,36.0771622,139.6715632
三郷市栄５丁目,35.8092869,139.8732304
上尾市愛宕３丁目,35.9675868,139.5996022
富士見市東みずほ台３丁目,35.842692,139.550484
川口市坂下町３丁目,35.828087,139.7453213
さいたま市中央区本町西１丁目,35.8807241,139.6194671
さいたま市中央区本町東２丁目,35.8815668,139.6242667
さいたま市中央区新中里４丁目,35.8784607,139.6325274
さいたま市見沼区東宮下２丁目,35.9324982,139.6809911
さいたま市見沼区大和田町１丁目,35.9250075,139.6502651
